Age,Education,YearsExperience,JobRole,Location,EmploymentType,CompanySize,Salary
23,Master's,0,Business Analyst,Mumbai,Full-time,Small,818000
29,PhD,0,Web Developer,Bengaluru,Full-time,Medium,897000
54,Bachelor's,2,Software Engineer,Delhi,Part-time,Startup,369000
37,Bachelor's,15,ML Engineer,Mumbai,Full-time,Medium,2264000
50,Bachelor's,14,Data Analyst,Pune,Full-time,Medium,1579000
50,Bachelor's,22,Software Engineer,Mumbai,Contract,Medium,2640000
22,Bachelor's,0,Data Scientist,Kolkata,Full-time,Medium,778000
36,Bachelor's,7,Web Developer,Gurugram,Full-time,Large,1232000
39,Bachelor's,4,Product Analyst,Delhi,Full-time,Startup,894000
46,Bachelor's,13,Product Analyst,Kolkata,Full-time,Medium,1313000
37,Master's,3,Software Engineer,Chennai,Full-time,Startup,890000
42,Master's,13,ML Engineer,Gurugram,Full-time,Startup,1809000
43,Master's,13,Data Analyst,Ahmedabad,Full-time,Small,1012000
48,Bachelor's,9,Software Engineer,Noida,Full-time,Medium,1236000
30,Master's,2,Data Analyst,Pune,Full-time,Medium,689000
39,Bachelor's,9,Project Manager,Pune,Full-time,Medium,1591000
53,Bachelor's,21,Project Manager,Noida,Full-time,Large,2433000
50,Master's,23,ML Engineer,Chennai,Full-time,Small,2754000
48,Master's,10,Project Manager,Delhi,Full-time,Startup,1602000
22,Bachelor's,0,Product Analyst,Chennai,Contract,Startup,475000
40,Bachelor's,16,Software Engineer,Ahmedabad,Full-time,Startup,1364000
33,Master's,10,Project Manager,Hyderabad,Full-time,Medium,1944000
40,Bachelor's,0,Database Administrator,Bengaluru,Full-time,Medium,714000
55,Bachelor's,29,Business Analyst,Hyderabad,Full-time,Medium,3164000
49,Master's,7,Business Analyst,Chennai,Full-time,Large,1573000
46,Bachelor's,3,Product Analyst,Kolkata,Full-time,Medium,814000
53,Bachelor's,22,Software Engineer,Kolkata,Full-time,Small,1813000
26,Bachelor's,5,Data Scientist,Gurugram,Full-time,Startup,1403000
47,PhD,3,Database Administrator,Bengaluru,Full-time,Large,1414000
24,Master's,1,Business Analyst,Ahmedabad,Full-time,Large,911000
25,Bachelor's,4,Data Analyst,Chennai,Full-time,Medium,765000
25,Bachelor's,3,Product Analyst,Gurugram,Full-time,Small,887000
45,Bachelor's,0,Web Developer,Pune,Contract,Startup,681000
48,Bachelor's,25,Data Scientist,Gurugram,Contract,Large,2608000
43,Master's,0,ML Engineer,Chennai,Full-time,Small,1023000
29,Master's,3,Product Analyst,Kolkata,Full-time,Small,827000
47,Master's,1,Data Scientist,Delhi,Full-time,Medium,1281000
44,,0,Project Manager,Ahmedabad,Full-time,Medium,779000
27,Bachelor's,0,ML Engineer,Chennai,Full-time,Large,1162000
49,Bachelor's,16,DevOps Engineer,Chennai,Full-time,Large,1914000
50,Master's,5,Web Developer,Bengaluru,Full-time,Startup,1094000
30,Master's,9,Data Analyst,Bengaluru,Full-time,Startup,1307000
23,Master's,2,DevOps Engineer,Delhi,Full-time,Medium,1253000
48,Master's,14,Data Scientist,Gurugram,Full-time,Large,2793000
41,Bachelor's,13,Data Analyst,Noida,Full-time,Medium,1538000
39,Master's,3,Data Analyst,Hyderabad,Contract,Medium,842000
32,Master's,3,Project Manager,Kolkata,Full-time,Small,1182000
42,Bachelor's,11,Product Analyst,Gurugram,Part-time,Medium,985000
29,Master's,7,Database Administrator,Noida,Full-time,Medium,1080000
46,Master's,25,Data Analyst,Noida,Full-time,Large,2755000
54,Bachelor's,16,Project Manager,Ahmedabad,Full-time,Startup,1489000
47,Bachelor's,24,DevOps Engineer,Hyderabad,Full-time,Medium,2303000
48,Bachelor's,25,Data Analyst,Delhi,Full-time,Startup,2187000
46,Master's,20,Web Developer,Bengaluru,Full-time,Medium,2611000
42,Bachelor's,4,Product Analyst,Pune,Full-time,Startup,865000
37,Bachelor's,12,Database Administrator,Ahmedabad,Full-time,Small,1275000
45,Bachelor's,6,Data Analyst,Mumbai,Full-time,Large,1057000
32,Bachelor's,2,Software Engineer,Bengaluru,Part-time,Small,559000
28,Master's,6,ML Engineer,Mumbai,Full-time,Large,1972000
45,Bachelor's,11,Product Analyst,Kolkata,Contract,Startup,1134000
34,Master's,4,Data Scientist,Gurugram,Part-time,Large,913000
50,Master's,19,Data Analyst,Ahmedabad,Full-time,Medium,1532000
23,Bachelor's,0,Product Analyst,Noida,Full-time,Medium,950000
24,Master's,0,Data Analyst,Bengaluru,Contract,Medium,818000
55,Master's,28,Business Analyst,Kolkata,Full-time,Small,2010000
50,Bachelor's,24,Web Developer,Mumbai,Full-time,Startup,2119000
38,Bachelor's,4,Software Engineer,Mumbai,Part-time,Small,509000
44,Bachelor's,3,Product Analyst,Mumbai,Contract,Startup,1021000
45,PhD,6,DevOps Engineer,Pune,Contract,Startup,1269000
30,Bachelor's,1,Database Administrator,Bengaluru,Part-time,Large,438000
29,Master's,2,Software Engineer,Ahmedabad,Full-time,Medium,921000
23,Bachelor's,2,DevOps Engineer,Kolkata,Full-time,Medium,832000
48,Bachelor's,8,Data Analyst,Ahmedabad,Contract,Medium,961000
54,Bachelor's,23,Project Manager,Gurugram,Full-time,Startup,2465000
23,Bachelor's,1,Software Engineer,Delhi,Full-time,Large,931000
33,Bachelor's,10,Business Analyst,Ahmedabad,Full-time,Medium,1121000
30,Master's,4,Data Analyst,,Full-time,Large,1076000
22,Bachelor's,1,Software Engineer,Kolkata,Full-time,Small,759000
26,Master's,2,Product Analyst,Kolkata,Part-time,Small,436000
50,Bachelor's,4,Web Developer,Pune,Full-time,Startup,644000
30,Bachelor's,5,Product Analyst,Gurugram,Full-time,Large,1361000
49,Master's,11,Data Scientist,Pune,Full-time,Startup,1419000
31,Bachelor's,9,Data Analyst,Hyderabad,Part-time,Small,419000
35,Master's,6,Web Developer,Hyderabad,Full-time,Startup,718000
35,Bachelor's,1,Software Engineer,Kolkata,Full-time,Medium,634000
47,Bachelor's,7,Database Administrator,Bengaluru,Full-time,Startup,1093000
49,Bachelor's,11,Product Analyst,Chennai,Full-time,Medium,1232000
27,Master's,0,Web Developer,Pune,Full-time,Startup,464000
22,Bachelor's,1,Software Engineer,Gurugram,Full-time,Medium,957000
51,Bachelor's,5,Database Administrator,Bengaluru,Part-time,Large,697000
32,Bachelor's,8,Project Manager,Delhi,Full-time,Small,1578000
53,Bachelor's,1,Database Administrator,Bengaluru,Contract,Small,833000
31,Master's,2,Database Administrator,Delhi,Full-time,Medium,1082000
32,PhD,7,Web Developer,Noida,Full-time,Medium,1284000
34,Master's,10,ML Engineer,Kolkata,Contract,Startup,1561000
28,Master's,4,ML Engineer,Chennai,Full-time,Startup,1301000
23,Bachelor's,1,Project Manager,Bengaluru,Contract,Startup,803000
44,Master's,19,Web Developer,Gurugram,Full-time,Medium,2154000
22,Master's,0,Project Manager,Noida,Full-time,Medium,1123000
32,Master's,2,DevOps Engineer,Mumbai,Full-time,Startup,1166000
34,Bachelor's,7,Web Developer,Hyderabad,Full-time,Medium,968000
48,Master's,1,Business Analyst,Bengaluru,Full-time,Startup,682000
23,Bachelor's,1,Product Analyst,Ahmedabad,Full-time,Startup,525000
28,PhD,2,Database Administrator,Delhi,Full-time,Startup,983000
48,Master's,14,Web Developer,Hyderabad,Part-time,Startup,909000
46,Bachelor's,0,Project Manager,Mumbai,Contract,Small,1057000
51,Bachelor's,23,Data Analyst,Noida,Full-time,Startup,1563000
36,Bachelor's,1,ML Engineer,Gurugram,Part-time,Startup,674000
42,Master's,14,ML Engineer,Noida,Contract,Medium,2042000
37,Master's,7,Software Engineer,Gurugram,Contract,Large,1637000
48,PhD,1,Project Manager,Kolkata,Contract,Large,1388000
33,Bachelor's,8,Data Analyst,Delhi,Full-time,Medium,1328000
39,Master's,12,DevOps Engineer,Delhi,Full-time,Small,1852000
27,Master's,6,Database Administrator,Bengaluru,Full-time,Small,1227000
34,Master's,9,Database Administrator,Chennai,Full-time,Large,1676000
48,Master's,20,Database Administrator,Mumbai,Full-time,Medium,2632000
26,Master's,5,Business Analyst,Noida,Full-time,Large,1243000
35,Master's,8,Data Scientist,Pune,Contract,Small,1168000
47,Bachelor's,14,DevOps Engineer,Ahmedabad,Full-time,Medium,1451000
24,Bachelor's,1,ML Engineer,Ahmedabad,Contract,Startup,721000
40,Bachelor's,3,Project Manager,Bengaluru,Full-time,Medium,1342000
33,Master's,6,Business Analyst,Delhi,Full-time,Large,1394000
28,Bachelor's,7,Product Analyst,Mumbai,Full-time,Medium,1306000
30,Bachelor's,8,Web Developer,Ahmedabad,Full-time,Medium,889000
41,Bachelor's,16,Business Analyst,Chennai,Full-time,Medium,1593000
34,Master's,12,Database Administrator,Hyderabad,Full-time,Medium,1626000
31,Bachelor's,6,Data Scientist,Pune,Full-time,Medium,1148000
53,Bachelor's,2,Software Engineer,Delhi,Full-time,Startup,798000
28,Master's,1,Product Analyst,Chennai,Full-time,Startup,613000
37,Master's,2,Web Developer,Gurugram,Full-time,Startup,892000
36,Bachelor's,9,Database Administrator,Noida,Full-time,Small,1329000
40,PhD,2,ML Engineer,Chennai,Full-time,Large,1739000
41,Master's,19,Data Analyst,Gurugram,Full-time,Startup,2047000
54,Bachelor's,13,ML Engineer,Hyderabad,Full-time,Small,1751000
23,Bachelor's,1,Web Developer,Hyderabad,Full-time,Large,556000
42,Bachelor's,4,Software Engineer,Ahmedabad,Full-time,Medium,1020000
23,,2,Database Administrator,Mumbai,Full-time,Startup,837000
34,Bachelor's,3,Product Analyst,Kolkata,Full-time,Medium,664000
36,Master's,5,Web Developer,Chennai,Part-time,Large,657000
54,Bachelor's,7,Web Developer,Kolkata,Full-time,Startup,815000
51,Master's,13,Project Manager,Hyderabad,Full-time,Startup,1525000
39,Bachelor's,1,Data Analyst,Hyderabad,Full-time,Medium,636000
29,Bachelor's,2,Software Engineer,Pune,Full-time,Startup,696000
49,Master's,19,Project Manager,Noida,Full-time,Large,2569000
47,Master's,21,Business Analyst,Delhi,Part-time,Startup,1080000
41,Bachelor's,5,Product Analyst,Noida,Full-time,Medium,993000
55,Bachelor's,10,Web Developer,Noida,Full-time,Startup,1208000
38,Master's,7,Web Developer,Delhi,Full-time,Large,1272000
21,Master's,0,Software Engineer,Ahmedabad,Contract,Small,560000
48,Bachelor's,10,DevOps Engineer,Delhi,Full-time,Medium,1386000
52,Bachelor's,11,Business Analyst,Gurugram,Full-time,Startup,1363000
44,Bachelor's,2,Business Analyst,Pune,Full-time,Small,814000
27,Bachelor's,2,Product Analyst,Mumbai,Full-time,Large,952000
30,Bachelor's,5,Software Engineer,Gurugram,Full-time,Medium,1097000
24,Bachelor's,1,Database Administrator,Ahmedabad,Full-time,Large,726000
32,PhD,10,Project Manager,Mumbai,Contract,Medium,2121000
29,Bachelor's,8,Product Analyst,Kolkata,Full-time,Small,969000
52,Master's,18,DevOps Engineer,Mumbai,Full-time,Large,3184000
41,Master's,7,ML Engineer,Noida,Full-time,Startup,1384000
45,Bachelor's,21,Data Analyst,Hyderabad,Full-time,Medium,2290000
44,Master's,11,Business Analyst,Bengaluru,Full-time,Small,1414000
49,Bachelor's,6,Database Administrator,Mumbai,Full-time,Medium,1236000
21,Bachelor's,0,Data Scientist,Ahmedabad,Full-time,Small,643000
47,Master's,26,Database Administrator,Pune,Full-time,Large,3382000
40,Master's,10,ML Engineer,Delhi,Contract,Large,2119000
24,Master's,3,Project Manager,Chennai,Full-time,Medium,1238000
40,Master's,16,Web Developer,Chennai,Full-time,Medium,1715000
24,Master's,3,Data Analyst,Hyderabad,Full-time,Startup,707000
44,Master's,12,Product Analyst,Delhi,Full-time,Large,1974000
50,Master's,22,Software Engineer,Hyderabad,Full-time,Startup,2336000
53,Master's,16,Web Developer,Delhi,Part-time,Medium,1163000
46,Bachelor's,15,Web Developer,Ahmedabad,Full-time,Startup,897000
37,Master's,12,Data Scientist,Ahmedabad,Contract,Startup,1336000
40,Bachelor's,16,Business Analyst,Pune,Full-time,Startup,1345000
26,Bachelor's,0,Database Administrator,Pune,Full-time,Large,814000
50,Bachelor's,21,Data Scientist,Noida,Contract,Startup,1788000
33,Bachelor's,5,Web Developer,Gurugram,Full-time,Medium,1094000
41,Bachelor's,3,ML Engineer,Delhi,Contract,Startup,1102000
27,Bachelor's,4,DevOps Engineer,Kolkata,Full-time,Large,1129000
43,Bachelor's,4,Data Scientist,Chennai,Part-time,Medium,584000
27,Bachelor's,5,Software Engineer,Gurugram,Full-time,Large,1262000
42,Bachelor's,16,Project Manager,Delhi,Contract,Small,1605000
30,Master's,1,Data Scientist,Noida,Full-time,Startup,1060000
30,Bachelor's,2,Software Engineer,Noida,Contract,Medium,878000
48,Bachelor's,13,Database Administrator,Gurugram,Part-time,Large,854000
45,Bachelor's,23,DevOps Engineer,Bengaluru,Full-time,Large,2714000
39,PhD,4,DevOps Engineer,Ahmedabad,Full-time,Small,1010000
41,Master's,7,DevOps Engineer,Hyderabad,Full-time,Medium,1694000
23,Bachelor's,2,DevOps Engineer,Delhi,Full-time,Startup,870000
52,Master's,27,Business Analyst,Pune,Contract,Large,3189000
36,Bachelor's,0,ML Engineer,Mumbai,Full-time,Medium,1148000
51,Bachelor's,26,Business Analyst,Kolkata,Full-time,Startup,1933000
55,Master's,27,Web Developer,Delhi,Full-time,Medium,2321000
31,Master's,1,Database Administrator,Mumbai,Full-time,Large,1045000
48,Bachelor's,23,Software Engineer,Mumbai,Full-time,Large,3123000
38,Master's,10,Project Manager,Bengaluru,Contract,Medium,1995000
36,Bachelor's,1,DevOps Engineer,Gurugram,Full-time,Startup,930000
21,Master's,0,ML Engineer,Chennai,Full-time,Medium,1272000
34,Master's,3,ML Engineer,Kolkata,Contract,Medium,1009000
53,Master's,5,ML Engineer,Hyderabad,Full-time,Medium,1450000
50,Bachelor's,13,Software Engineer,Kolkata,Full-time,Startup,1411000
42,Master's,15,Data Scientist,Chennai,Full-time,Large,2128000
39,Bachelor's,14,DevOps Engineer,Delhi,Full-time,Startup,1506000
29,Bachelor's,0,Database Administrator,Mumbai,Full-time,Small,780000
42,PhD,8,ML Engineer,Bengaluru,Full-time,Small,1868000
41,Bachelor's,20,Web Developer,Mumbai,Full-time,Startup,1575000
37,Master's,1,Software Engineer,Gurugram,Full-time,Small,959000
32,Bachelor's,8,Web Developer,Delhi,Full-time,Medium,1064000
27,Bachelor's,3,Project Manager,Chennai,Full-time,Large,1420000
21,Bachelor's,0,Project Manager,Delhi,Contract,Startup,934000
39,PhD,9,Software Engineer,Chennai,Full-time,Medium,1508000
33,Bachelor's,12,Software Engineer,Gurugram,Full-time,Startup,1387000
29,Bachelor's,7,Database Administrator,Bengaluru,Full-time,Small,1322000
33,Bachelor's,10,Software Engineer,Gurugram,Full-time,Small,1569000
53,PhD,25,Product Analyst,Mumbai,Full-time,Medium,2662000
43,Master's,16,Data Analyst,Hyderabad,Full-time,Small,1570000
48,Master's,7,Software Engineer,Ahmedabad,Full-time,Medium,1080000
49,Master's,8,Data Scientist,Ahmedabad,Full-time,Startup,1073000
26,Master's,2,Project Manager,Chennai,Full-time,Startup,1021000
32,Bachelor's,2,ML Engineer,Ahmedabad,Contract,Large,1183000
48,Master's,20,Data Analyst,Pune,Full-time,Small,1756000
50,Bachelor's,27,Data Scientist,Chennai,Contract,Large,2913000
53,Bachelor's,23,DevOps Engineer,Mumbai,Full-time,Startup,2392000
40,Bachelor's,18,Data Analyst,Chennai,Full-time,Startup,1566000
25,Master's,1,DevOps Engineer,Delhi,Full-time,Medium,1033000
25,,2,Web Developer,Ahmedabad,Full-time,Startup,457000
50,Master's,9,Business Analyst,Ahmedabad,Full-time,Medium,1301000
38,PhD,8,Web Developer,Bengaluru,Full-time,Small,1350000
54,Bachelor's,21,ML Engineer,Chennai,Full-time,Large,2795000
41,Master's,13,Business Analyst,Noida,Full-time,Startup,1423000
37,Master's,2,DevOps Engineer,Delhi,Full-time,Medium,1253000
41,Bachelor's,7,Software Engineer,Mumbai,Full-time,Startup,1284000
32,Bachelor's,5,ML Engineer,Mumbai,Contract,Small,1457000
32,Bachelor's,5,Data Scientist,Ahmedabad,Part-time,Medium,466000
31,Bachelor's,0,ML Engineer,Kolkata,Full-time,Medium,1031000
47,Bachelor's,17,Web Developer,Noida,Part-time,Startup,678000
53,Bachelor's,31,Project Manager,Chennai,Full-time,Medium,3275000
51,Bachelor's,22,Project Manager,Delhi,Full-time,Medium,2240000
22,Bachelor's,0,DevOps Engineer,Kolkata,Contract,Large,701000
46,Bachelor's,16,ML Engineer,Chennai,Full-time,Large,2547000
25,Master's,3,Software Engineer,Pune,Full-time,Startup,861000
54,Bachelor's,13,Project Manager,Chennai,Full-time,Medium,1821000
54,Bachelor's,15,Data Analyst,Hyderabad,Full-time,Medium,1520000
54,Master's,2,DevOps Engineer,Noida,Contract,Small,1069000
33,Bachelor's,4,Data Scientist,Kolkata,Full-time,Startup,813000
52,Bachelor's,29,Web Developer,Gurugram,Full-time,Medium,2567000
44,Bachelor's,14,Web Developer,Noida,Full-time,Small,1188000
54,Master's,17,Database Administrator,Bengaluru,Full-time,Startup,1877000
28,Bachelor's,0,Database Administrator,Kolkata,Full-time,Small,582000
24,Master's,3,Data Scientist,Chennai,Contract,Small,1153000
46,PhD,0,Database Administrator,Gurugram,Full-time,Startup,848000
33,PhD,4,Software Engineer,Pune,Full-time,Small,1146000
37,Bachelor's,4,ML Engineer,Kolkata,Full-time,Startup,1107000
55,Master's,6,Data Analyst,Mumbai,Contract,Large,1242000
42,Master's,0,ML Engineer,Hyderabad,Full-time,Large,1578000
23,Master's,1,Business Analyst,Gurugram,Full-time,Medium,913000
30,Bachelor's,4,Business Analyst,Ahmedabad,Full-time,Small,656000
42,Bachelor's,16,Product Analyst,Chennai,Full-time,Small,1584000
45,Bachelor's,3,Product Analyst,Delhi,Full-time,Medium,918000
37,Bachelor's,7,Project Manager,Mumbai,Full-time,Small,1450000
52,Bachelor's,20,ML Engineer,Ahmedabad,Full-time,Medium,1956000
36,Master's,10,ML Engineer,Pune,Contract,Startup,1713000
28,Bachelor's,4,Web Developer,Gurugram,Full-time,Startup,775000
48,Master's,12,ML Engineer,Ahmedabad,Full-time,Large,1993000
31,Bachelor's,5,Product Analyst,Noida,Full-time,Medium,1130000
39,PhD,10,DevOps Engineer,Gurugram,Contract,Startup,1747000
51,Master's,8,Product Analyst,Bengaluru,Contract,Medium,1279000
53,Master's,26,Product Analyst,Mumbai,Part-time,Medium,1851000
33,Bachelor's,2,DevOps Engineer,Bengaluru,Full-time,Large,1424000
51,Master's,27,Database Administrator,Pune,Part-time,Large,1800000
31,Bachelor's,4,Data Scientist,Noida,Full-time,Medium,1331000
24,Master's,3,Data Analyst,Bengaluru,Part-time,Medium,530000
28,Master's,5,Software Engineer,Noida,Contract,Large,1387000
49,Master's,21,Business Analyst,Ahmedabad,Contract,Small,1575000
28,Bachelor's,7,Business Analyst,Kolkata,Full-time,Large,1014000
29,Bachelor's,5,Data Analyst,Chennai,Full-time,Medium,835000
50,Bachelor's,2,ML Engineer,Ahmedabad,Full-time,Large,1142000
40,Master's,17,Data Analyst,Bengaluru,Full-time,Large,1891000
25,PhD,1,Project Manager,Hyderabad,Full-time,Startup,1169000
31,Master's,7,Data Scientist,Ahmedabad,Contract,Startup,1186000
43,Master's,9,Data Analyst,Pune,Full-time,Small,1106000
48,Bachelor's,13,Web Developer,Ahmedabad,Contract,Medium,1139000
54,Master's,28,Product Analyst,Pune,Full-time,Large,3162000
43,Bachelor's,12,Business Analyst,Kolkata,Full-time,Small,1077000
40,Master's,2,Project Manager,Pune,Part-time,Startup,523000
25,Bachelor's,4,Data Analyst,Mumbai,Full-time,Large,1093000
36,,7,Project Manager,Mumbai,Full-time,Small,1598000
30,Master's,1,Database Administrator,Bengaluru,Part-time,Startup,338000
45,Bachelor's,20,Software Engineer,Bengaluru,Full-time,Startup,2337000
44,Master's,1,ML Engineer,Delhi,Contract,Medium,1232000
49,Bachelor's,8,Project Manager,Pune,Part-time,Large,1062000
32,Bachelor's,6,Software Engineer,Chennai,Full-time,Medium,1055000
34,Master's,9,Data Analyst,Noida,Full-time,Medium,1462000
53,Bachelor's,18,Business Analyst,Delhi,Full-time,Large,2364000
51,Master's,3,Data Analyst,Gurugram,Contract,Medium,917000
34,PhD,7,Data Analyst,Noida,Contract,Startup,1111000
31,Bachelor's,4,Software Engineer,Delhi,Full-time,Medium,976000
53,Master's,18,Data Analyst,Noida,Contract,Medium,1846000
39,PhD,17,Database Administrator,Kolkata,Full-time,Medium,2108000
22,Bachelor's,1,Database Administrator,Mumbai,Full-time,Medium,812000
23,Bachelor's,1,Data Scientist,Hyderabad,Full-time,Medium,1071000
47,PhD,14,Database Administrator,Delhi,Full-time,Medium,1994000
42,Bachelor's,2,Product Analyst,Kolkata,Full-time,Medium,773000
22,Bachelor's,0,Data Scientist,Ahmedabad,Full-time,Medium,857000
50,Bachelor's,24,Software Engineer,Bengaluru,Full-time,Large,3069000
39,Bachelor's,0,Database Administrator,Ahmedabad,Full-time,Startup,679000
55,Master's,20,Web Developer,Kolkata,Full-time,Large,1776000
40,Bachelor's,12,Software Engineer,Mumbai,Contract,Medium,1360000
25,Bachelor's,2,DevOps Engineer,Hyderabad,Full-time,Medium,1012000
38,Bachelor's,15,Data Analyst,Delhi,Full-time,Medium,1513000
21,Bachelor's,0,DevOps Engineer,Chennai,Full-time,Small,917000
45,Bachelor's,6,Software Engineer,,Contract,Startup,1107000
35,Bachelor's,11,Project Manager,Ahmedabad,Full-time,Small,1313000
44,Bachelor's,3,Software Engineer,Noida,Full-time,Startup,933000
48,Master's,20,Data Scientist,Pune,Full-time,Large,2397000
32,Bachelor's,11,Product Analyst,Noida,Full-time,Medium,1303000
52,PhD,22,Web Developer,Ahmedabad,Full-time,Small,1587000
41,Bachelor's,8,Data Scientist,Noida,Full-time,Large,1765000
23,Bachelor's,1,Project Manager,Kolkata,Full-time,Medium,933000
43,Bachelor's,12,DevOps Engineer,Mumbai,Full-time,Medium,1897000
30,Bachelor's,2,Database Administrator,Ahmedabad,Full-time,Startup,640000
39,Master's,14,DevOps Engineer,Gurugram,Part-time,Small,1156000
21,Bachelor's,0,Data Analyst,Chennai,Full-time,Medium,644000
33,Bachelor's,0,ML Engineer,Gurugram,Full-time,Startup,971000
21,Bachelor's,0,Software Engineer,Kolkata,Full-time,Small,584000
52,Bachelor's,25,Database Administrator,Delhi,Full-time,Medium,2857000
27,Bachelor's,5,Data Scientist,Hyderabad,Full-time,Medium,1274000
50,Master's,24,Data Scientist,Hyderabad,Full-time,Large,3069000
48,Master's,19,Data Analyst,Hyderabad,Full-time,Large,2116000
49,Bachelor's,26,Data Scientist,Chennai,Full-time,Medium,2671000
31,Bachelor's,9,Data Analyst,Bengaluru,Full-time,Medium,1309000
35,Master's,8,Database Administrator,Ahmedabad,Full-time,Medium,1249000
55,Master's,18,ML Engineer,Kolkata,Full-time,Small,1788000
36,Master's,6,Business Analyst,Ahmedabad,Contract,Medium,965000
33,Bachelor's,10,DevOps Engineer,Gurugram,Full-time,Startup,1251000
50,Master's,29,Software Engineer,Ahmedabad,Full-time,Small,2485000
23,Master's,1,Software Engineer,Mumbai,Full-time,Startup,953000
42,Master's,9,Web Developer,Noida,Part-time,Large,793000
28,Bachelor's,0,Project Manager,Delhi,Full-time,Large,1230000
26,Master's,0,DevOps Engineer,Gurugram,Full-time,Small,1026000
53,PhD,26,Product Analyst,Chennai,Part-time,Startup,1027000
33,PhD,0,Business Analyst,Chennai,Full-time,Startup,663000
35,Bachelor's,10,Data Scientist,Mumbai,Contract,Medium,1865000
